"Titre de tracé : 10848908"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848908, SEN S/N: 10848908, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848908, SEN S/N: 10848908, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848908, SEN S/N: 10848908, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848908, SEN S/N: 10848908, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848908)","Arrêté (LGR S/N: 10848908)","Fin de fichier (LGR S/N: 10848908)"
1,04/09/19 12:00:00 PM,17.265,17.926,18.441,19.401,,,
2,04/09/19 12:15:00 PM,18.143,19.090,19.692,20.494,,,
3,04/09/19 12:30:00 PM,18.420,16.877,19.600,19.050,,,
4,04/09/19 12:45:00 PM,17.547,15.942,18.534,17.454,,,
5,04/09/19 01:00:00 PM,17.135,15.484,18.111,17.280,,,
6,04/09/19 01:15:00 PM,20.112,23.319,26.000,25.407,,,
7,04/09/19 01:30:00 PM,28.405,31.085,33.915,26.472,,,
8,04/09/19 01:45:00 PM,29.184,32.349,33.567,27.413,,,
9,04/09/19 02:00:00 PM,19.993,21.305,20.810,20.381,,,
10,04/09/19 02:15:00 PM,18.175,19.106,18.542,18.548,,,
11,04/09/19 02:30:00 PM,22.230,23.841,24.466,21.515,,,
12,04/09/19 02:45:00 PM,24.020,22.709,21.300,19.548,,,
13,04/09/19 03:00:00 PM,11.373,11.740,12.467,17.828,,,
14,04/09/19 03:15:00 PM,10.744,11.154,11.813,18.348,,,
15,04/09/19 03:30:00 PM,10.654,11.037,11.698,18.007,,,
16,04/09/19 03:45:00 PM,10.615,10.985,11.665,18.499,,,
17,04/09/19 04:00:00 PM,10.594,10.956,11.658,19.129,,,
18,04/09/19 04:15:00 PM,10.580,10.937,11.668,19.114,,,
19,04/09/19 04:30:00 PM,10.571,10.925,11.684,19.280,,,
20,04/09/19 04:45:00 PM,10.565,10.918,11.707,18.889,,,
21,04/09/19 05:00:00 PM,10.560,10.913,11.734,19.433,,,
22,04/09/19 05:15:00 PM,10.557,10.910,11.763,18.702,,,
23,04/09/19 05:30:00 PM,10.554,10.908,11.795,18.741,,,
24,04/09/19 05:45:00 PM,10.553,10.910,11.828,17.683,,,
25,04/09/19 06:00:00 PM,10.551,10.912,11.862,17.283,,,
26,04/09/19 06:15:00 PM,10.550,10.913,11.895,17.201,,,
27,04/09/19 06:30:00 PM,10.550,10.918,11.928,17.250,,,
28,04/09/19 06:45:00 PM,10.548,10.922,11.962,16.930,,,
29,04/09/19 07:00:00 PM,10.548,10.927,11.993,16.662,,,
30,04/09/19 07:15:00 PM,10.548,10.933,12.024,16.171,,,
31,04/09/19 07:30:00 PM,10.550,10.939,12.053,15.755,,,
32,04/09/19 07:45:00 PM,10.550,10.947,12.078,15.358,,,
33,04/09/19 08:00:00 PM,10.551,10.954,12.104,14.958,,,
34,04/09/19 08:15:00 PM,10.551,10.962,12.128,14.593,,,
35,04/09/19 08:30:00 PM,10.553,10.971,12.149,14.204,,,
36,04/09/19 08:45:00 PM,10.554,10.980,12.168,13.865,,,
37,04/09/19 09:00:00 PM,10.556,10.989,12.186,13.595,,,
38,04/09/19 09:15:00 PM,10.557,10.998,12.199,13.294,,,
39,04/09/19 09:30:00 PM,10.559,11.009,12.211,12.942,,,
40,04/09/19 09:45:00 PM,10.560,11.018,12.221,12.639,,,
41,04/09/19 10:00:00 PM,10.563,11.029,12.228,12.335,,,
42,04/09/19 10:15:00 PM,10.565,11.040,12.233,12.074,,,
43,04/09/19 10:30:00 PM,10.568,11.050,12.234,11.809,,,
44,04/09/19 10:45:00 PM,10.569,11.059,12.234,11.589,,,
45,04/09/19 11:00:00 PM,10.573,11.070,12.231,11.397,,,
46,04/09/19 11:15:00 PM,10.576,11.081,12.227,11.203,,,
47,04/09/19 11:30:00 PM,10.579,11.090,12.219,10.983,,,
48,04/09/19 11:45:00 PM,10.582,11.100,12.208,10.770,,,
49,04/10/19 12:00:00 AM,10.585,11.110,12.198,10.580,,,
50,04/10/19 12:15:00 AM,10.588,11.119,12.184,10.384,,,
51,04/10/19 12:30:00 AM,10.592,11.128,12.169,10.196,,,
52,04/10/19 12:45:00 AM,10.595,11.136,12.151,10.009,,,
53,04/10/19 01:00:00 AM,10.599,11.143,12.133,9.840,,,
54,04/10/19 01:15:00 AM,10.603,11.152,12.112,9.660,,,
55,04/10/19 01:30:00 AM,10.606,11.158,12.090,9.487,,,
56,04/10/19 01:45:00 AM,10.611,11.166,12.068,9.325,,,
57,04/10/19 02:00:00 AM,10.615,11.172,12.043,9.169,,,
58,04/10/19 02:15:00 AM,10.618,11.178,12.018,9.018,,,
59,04/10/19 02:30:00 AM,10.623,11.183,11.990,8.871,,,
60,04/10/19 02:45:00 AM,10.628,11.187,11.963,8.750,,,
61,04/10/19 03:00:00 AM,10.631,11.192,11.934,8.616,,,
62,04/10/19 03:15:00 AM,10.635,11.196,11.906,8.663,,,
63,04/10/19 03:30:00 AM,10.640,11.199,11.875,8.747,,,
64,04/10/19 03:45:00 AM,10.644,11.203,11.845,8.900,,,
65,04/10/19 04:00:00 AM,10.647,11.204,11.815,9.015,,,
66,04/10/19 04:15:00 AM,10.652,11.206,11.783,9.083,,,
