,Variogram Index,Lag Distance,Variogram Value,Number of Pairs,Calculation Azimuth
0,2.0,6.07208131395,0.00116999533201,7866593.0,135.0
1,2.0,14.2748133266,0.00577900205604,24265087.0,135.0
2,2.0,23.2968925523,0.0146777673845,38638949.0,135.0
3,2.0,32.4186608205,0.0278468865253,53381539.0,135.0
4,2.0,41.5403557643,0.0448910060018,65755395.0,135.0
5,2.0,50.6740974372,0.0661160621227,79574457.0,135.0
6,2.0,59.8587038777,0.0913986939778,90236921.0,135.0
7,2.0,69.0630357105,0.120814289403,102684333.0,135.0
8,2.0,78.2789457761,0.154279768228,112132166.0,135.0
9,2.0,87.4500132616,0.191696767776,121892660.0,135.0
10,2.0,96.634383674,0.233158438758,130949040.0,135.0
11,2.0,105.825206336,0.278657959136,139314241.0,135.0
12,2.0,115.036499041,0.327962110592,147177401.0,135.0
13,2.0,124.230370524,0.381531191601,153340288.0,135.0
14,2.0,133.420250834,0.438678679523,160256859.0,135.0
15,2.0,142.633874092,0.499965674016,166178135.0,135.0
16,2.0,151.816724196,0.564740279621,169926041.0,135.0
17,2.0,161.009456304,0.63309976467,176186041.0,135.0
18,2.0,170.224289157,,0.7053158752,135.0
19,2.0,179.431431126,0.780798983945,183105072.0,135.0
20,2.0,188.619320842,0.860027710939,184315536.0,135.0
21,2.0,197.797303233,0.941508200286,188043522.0,135.0
22,2.0,207.001185968,1.02723744718,189457886.0,135.0
23,2.0,216.202266191,1.11584985385,190886553.0,135.0
24,2.0,225.419672836,,1.2071024845,135.0
25,1.0,5.85340742263,0.00137195017183,9362415.0,112.5
26,1.0,14.2514409051,0.00701425038696,25072579.0,112.5
27,1.0,23.3025752136,0.0177641392324,40019047.0,112.5
28,1.0,32.3909394921,0.0333944435695,54227544.0,112.5
29,1.0,41.5012100801,0.0536278069826,67256217.0,112.5
30,1.0,50.6880024398,0.0786427842857,81778879.0,112.5
31,1.0,59.9068519117,0.108041119213,92902209.0,112.5
32,1.0,69.0954412461,0.141669743309,104415221.0,112.5
33,1.0,78.2647029642,0.17921899523,114434871.0,112.5
34,1.0,87.4212428522,0.220426576746,124776673.0,112.5
35,1.0,96.6315316063,0.26569654171,135251308.0,112.5
36,1.0,105.853302388,0.314280765085,143215430.0,112.5
37,1.0,115.038684513,0.365869754918,151143176.0,112.5
38,1.0,124.22499572,0.420260075904,158283883.0,112.5
39,1.0,133.403969725,0.477174969704,164782093.0,112.5
40,1.0,142.613641873,0.536141676302,172420946.0,112.5
41,1.0,151.833100903,0.597249328015,176812240.0,112.5
42,1.0,161.025051889,0.659674036459,181785766.0,112.5
43,1.0,170.217387676,0.723104805147,186035084.0,112.5
44,1.0,179.406366007,0.787377467471,189716512.0,112.5
45,1.0,188.608051824,0.851260293358,193519245.0,112.5
46,1.0,197.811784563,0.917349954482,195548504.0,112.5
47,1.0,207.006052068,0.983193156313,197820199.0,112.5
48,1.0,216.205417531,1.04949328517,199526892.0,112.5
49,1.0,225.404340489,1.11581010509,200448812.0,112.5
