,Variogram Index,Lag Distance,Variogram Value,Number of Pairs,Calculation Azimuth
0,2.0,70.7106781187,0.102992836126,81,135.0
1,2.0,111.803398875,0.238651273023,144,135.0
2,2.0,141.421356237,0.423967451863,64,135.0
3,2.0,180.277563773,0.693109124325,112,135.0
4,1.0,50.0,0.0302357845608,90,112.5
6,1.0,100.0,0.121577216619,80,112.5
9,1.0,150.0,0.280143339149,70,112.5
10,1.0,158.113883008,0.448141343493,63,112.5
12,1.0,200.0,0.501040106633,60,112.5
13,1.0,206.155281281,0.723453098073,54,112.5
