"Titre de tracé : 10848912"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848912)","Arrêté (LGR S/N: 10848912)","Fin de fichier (LGR S/N: 10848912)"
82,04/10/19 08:15:00 AM,9.177,9.510,9.765,8.731,,,
83,04/10/19 08:30:00 AM,9.180,9.510,9.752,8.793,,,
84,04/10/19 08:45:00 AM,9.183,9.510,9.740,8.886,,,
85,04/10/19 09:00:00 AM,9.186,9.510,9.728,8.995,,,
86,04/10/19 09:15:00 AM,9.189,9.510,9.717,9.063,,,
87,04/10/19 09:30:00 AM,9.191,9.510,9.706,9.180,,,
88,04/10/19 09:45:00 AM,9.194,9.509,9.697,9.290,,,
89,04/10/19 10:00:00 AM,9.197,9.509,9.686,9.366,,,
90,04/10/19 10:15:00 AM,9.199,9.507,9.678,9.527,,,
91,04/10/19 10:30:00 AM,9.202,9.507,9.669,9.677,,,
92,04/10/19 10:45:00 AM,9.203,9.506,9.661,9.871,,,
93,04/10/19 11:00:00 AM,9.206,9.504,9.655,10.009,,,
94,04/10/19 11:15:00 AM,9.208,9.503,9.649,10.152,,,
95,04/10/19 11:30:00 AM,9.210,9.501,9.643,10.371,,,
96,04/10/19 11:45:00 AM,9.213,9.500,9.638,10.595,,,
97,04/10/19 12:00:00 PM,9.214,9.498,9.635,10.713,,,
98,04/10/19 12:15:00 PM,9.216,9.497,9.632,10.770,,,
99,04/10/19 12:30:00 PM,9.217,9.495,9.631,10.815,,,
100,04/10/19 12:45:00 PM,9.220,9.494,9.629,11.181,,,
101,04/10/19 01:00:00 PM,9.222,9.492,9.629,11.352,,,
102,04/10/19 01:15:00 PM,9.223,9.490,9.631,11.665,,,
103,04/10/19 01:30:00 PM,9.225,9.487,9.634,11.972,,,
104,04/10/19 01:45:00 PM,9.227,9.486,9.637,12.145,,,
105,04/10/19 02:00:00 PM,9.228,9.484,9.641,12.639,,,
106,04/10/19 02:15:00 PM,9.230,9.483,9.648,12.972,,,
107,04/10/19 02:30:00 PM,9.230,9.481,9.655,13.144,,,
108,04/10/19 02:45:00 PM,9.231,9.480,9.663,13.473,,,
109,04/10/19 03:00:00 PM,9.233,9.478,9.674,13.141,,,
110,04/10/19 03:15:00 PM,9.234,9.477,9.686,13.001,,,
111,04/10/19 03:30:00 PM,9.234,9.475,9.698,13.046,,,
112,04/10/19 03:45:00 PM,9.236,9.473,9.714,13.276,,,
113,04/10/19 04:00:00 PM,9.237,9.472,9.729,13.370,,,
114,04/10/19 04:15:00 PM,9.237,9.470,9.746,13.394,,,
115,04/10/19 04:30:00 PM,9.239,9.469,9.765,13.461,,,
116,04/10/19 04:45:00 PM,9.240,9.469,9.783,13.675,,,
117,04/10/19 05:00:00 PM,9.240,9.467,9.803,13.557,,,
118,04/10/19 05:15:00 PM,9.242,9.467,9.824,13.517,,,
119,04/10/19 05:30:00 PM,9.242,9.467,9.844,13.293,,,
120,04/10/19 05:45:00 PM,9.244,9.467,9.866,13.251,,,
121,04/10/19 06:00:00 PM,9.244,9.467,9.888,13.327,,,
122,04/10/19 06:15:00 PM,9.245,9.467,9.909,13.183,,,
123,04/10/19 06:30:00 PM,9.245,9.467,9.931,12.989,,,
124,04/10/19 06:45:00 PM,9.247,9.469,9.950,12.852,,,
125,04/10/19 07:00:00 PM,9.247,9.469,9.972,12.806,,,
126,04/10/19 07:15:00 PM,9.248,9.470,9.992,12.654,,,
127,04/10/19 07:30:00 PM,9.248,9.472,10.012,12.459,,,
128,04/10/19 07:45:00 PM,9.250,9.473,10.030,12.335,,,
129,04/10/19 08:00:00 PM,9.250,9.477,10.049,12.266,,,
130,04/10/19 08:15:00 PM,9.251,9.478,10.067,12.181,,,
131,04/10/19 08:30:00 PM,9.253,9.481,10.084,12.075,,,
132,04/10/19 08:45:00 PM,9.253,9.484,10.099,11.931,,,
133,04/10/19 09:00:00 PM,9.254,9.487,10.116,11.810,,,
134,04/10/19 09:15:00 PM,9.254,9.490,10.129,11.712,,,
135,04/10/19 09:30:00 PM,9.256,9.494,10.142,11.561,,,
136,04/10/19 09:45:00 PM,9.257,9.498,10.155,11.514,,,
137,04/10/19 10:00:00 PM,9.257,9.501,10.165,11.494,,,
138,04/10/19 10:15:00 PM,9.259,9.506,10.176,11.469,,,
139,04/10/19 10:30:00 PM,9.261,9.509,10.187,11.434,,,
140,04/10/19 10:45:00 PM,9.262,9.514,10.194,11.397,,,
141,04/10/19 11:00:00 PM,9.262,9.518,10.204,11.347,,,
142,04/10/19 11:15:00 PM,9.264,9.523,10.210,11.262,,,
143,04/10/19 11:30:00 PM,9.265,9.527,10.216,11.198,,,
144,04/10/19 11:45:00 PM,9.267,9.532,10.222,11.108,,,
145,04/11/19 12:00:00 AM,9.268,9.537,10.227,11.058,,,
146,04/11/19 12:15:00 AM,9.270,9.543,10.231,11.012,,,
147,04/11/19 12:30:00 AM,9.271,9.547,10.234,10.945,,,
148,04/11/19 12:45:00 AM,9.273,9.552,10.237,10.893,,,
149,04/11/19 01:00:00 AM,9.274,9.557,10.240,10.841,,,
150,04/11/19 01:15:00 AM,9.278,9.561,10.242,10.783,,,
151,04/11/19 01:30:00 AM,9.279,9.567,10.243,10.727,,,
152,04/11/19 01:45:00 AM,9.281,9.572,10.243,10.658,,,
153,04/11/19 02:00:00 AM,9.282,9.577,10.245,10.586,,,
154,04/11/19 02:15:00 AM,9.285,9.581,10.243,10.533,,,
155,04/11/19 02:30:00 AM,9.287,9.586,10.243,10.476,,,
156,04/11/19 02:45:00 AM,9.288,9.591,10.242,10.392,,,
157,04/11/19 03:00:00 AM,9.291,9.595,10.240,10.248,,,
158,04/11/19 03:15:00 AM,9.293,9.600,10.239,10.135,,,
159,04/11/19 03:30:00 AM,9.296,9.604,10.236,9.950,,,
160,04/11/19 03:45:00 AM,9.298,9.609,10.233,9.752,,,
161,04/11/19 04:00:00 AM,9.301,9.614,10.228,9.572,,,
162,04/11/19 04:15:00 AM,9.302,9.618,10.225,9.436,,,
163,04/11/19 04:30:00 AM,9.305,9.621,10.221,9.311,,,
164,04/11/19 04:45:00 AM,9.307,9.626,10.214,9.149,,,
165,04/11/19 05:00:00 AM,9.310,9.631,10.208,9.036,,,
166,04/11/19 05:15:00 AM,9.311,9.634,10.202,8.810,,,
167,04/11/19 05:30:00 AM,9.315,9.638,10.194,8.660,,,
168,04/11/19 05:45:00 AM,9.318,9.641,10.187,8.518,,,
169,04/11/19 06:00:00 AM,9.319,9.644,10.179,8.346,,,
170,04/11/19 06:15:00 AM,9.322,9.648,10.170,8.213,,,
171,04/11/19 06:30:00 AM,9.324,9.651,10.159,8.078,,,
172,04/11/19 06:45:00 AM,9.327,9.654,10.148,7.892,,,
173,04/11/19 07:00:00 AM,9.330,9.657,10.138,7.770,,,
174,04/11/19 07:15:00 AM,9.332,9.660,10.125,7.640,,,
175,04/11/19 07:30:00 AM,9.335,9.663,10.112,7.542,,,
176,04/11/19 07:45:00 AM,9.336,9.666,10.099,7.473,,,
177,04/11/19 08:00:00 AM,9.339,9.668,10.086,7.501,,,
178,04/11/19 08:15:00 AM,9.342,9.671,10.070,7.506,,,
179,04/11/19 08:30:00 AM,9.344,9.672,10.055,7.545,,,
180,04/11/19 08:45:00 AM,9.347,9.674,10.040,7.602,,,
181,04/11/19 09:00:00 AM,9.349,9.675,10.023,7.651,,,
182,04/11/19 09:15:00 AM,9.352,9.677,10.007,7.698,,,
183,04/11/19 09:30:00 AM,9.353,9.678,9.990,7.777,,,
184,04/11/19 09:45:00 AM,9.356,9.680,9.974,7.943,,,
185,04/11/19 10:00:00 AM,9.358,9.681,9.955,8.056,,,
186,04/11/19 10:15:00 AM,9.361,9.681,9.938,8.160,,,
187,04/11/19 10:30:00 AM,9.362,9.683,9.921,8.294,,,
188,04/11/19 10:45:00 AM,9.366,9.683,9.904,8.483,,,
189,04/11/19 11:00:00 AM,9.367,9.683,9.889,8.851,,,
190,04/11/19 11:15:00 AM,9.370,9.683,9.872,9.450,,,
191,04/11/19 11:30:00 AM,9.372,9.683,9.858,9.967,,,
192,04/11/19 11:45:00 AM,9.373,9.683,9.844,10.456,,,
193,04/11/19 12:00:00 PM,9.376,9.683,9.831,10.892,,,
194,04/11/19 12:15:00 PM,9.378,9.681,9.820,11.361,,,
195,04/11/19 12:30:00 PM,9.379,9.681,9.809,11.909,,,
196,04/11/19 12:45:00 PM,9.381,9.680,9.800,12.437,,,
197,04/11/19 01:00:00 PM,9.384,9.678,9.794,12.950,,,
198,04/11/19 01:15:00 PM,9.386,9.677,9.789,13.503,,,
199,04/11/19 01:30:00 PM,9.387,9.675,9.786,14.131,,,
200,04/11/19 01:45:00 PM,9.389,9.674,9.786,14.761,,,
201,04/11/19 02:00:00 PM,9.390,9.672,9.789,15.330,,,
202,04/11/19 02:15:00 PM,9.392,9.671,9.794,15.772,,,
203,04/11/19 02:30:00 PM,9.393,9.668,9.803,16.110,,,
204,04/11/19 02:45:00 PM,9.395,9.666,9.812,16.494,,,
205,04/11/19 03:00:00 PM,9.396,9.665,9.826,16.638,,,
206,04/11/19 03:15:00 PM,9.398,9.661,9.841,16.859,,,
207,04/11/19 03:30:00 PM,9.398,9.660,9.860,17.048,,,
208,04/11/19 03:45:00 PM,9.399,9.657,9.880,17.210,,,
209,04/11/19 04:00:00 PM,9.401,9.655,9.903,17.048,,,
210,04/11/19 04:15:00 PM,9.403,9.654,9.927,17.106,,,
211,04/11/19 04:30:00 PM,9.403,9.652,9.954,16.999,,,
212,04/11/19 04:45:00 PM,9.404,9.651,9.983,16.906,,,
213,04/11/19 05:00:00 PM,9.406,9.649,10.012,16.674,,,
214,04/11/19 05:15:00 PM,9.406,9.648,10.041,16.393,,,
215,04/11/19 05:30:00 PM,9.407,9.646,10.073,16.223,,,
216,04/11/19 05:45:00 PM,9.407,9.646,10.106,16.022,,,
217,04/11/19 06:00:00 PM,9.409,9.644,10.136,15.696,,,
218,04/11/19 06:15:00 PM,9.409,9.644,10.168,15.402,,,
219,04/11/19 06:30:00 PM,9.409,9.644,10.201,15.100,,,
220,04/11/19 06:45:00 PM,9.410,9.646,10.233,14.719,,,
221,04/11/19 07:00:00 PM,9.410,9.646,10.263,14.382,,,
222,04/11/19 07:15:00 PM,9.412,9.648,10.294,14.075,,,
223,04/11/19 07:30:00 PM,9.412,9.649,10.325,13.736,,,
224,04/11/19 07:45:00 PM,9.413,9.651,10.354,13.406,,,
225,04/11/19 08:00:00 PM,9.413,9.654,10.381,13.085,,,
226,04/11/19 08:15:00 PM,9.413,9.657,10.409,12.784,,,
227,04/11/19 08:30:00 PM,9.415,9.660,10.433,12.499,,,
228,04/11/19 08:45:00 PM,9.415,9.663,10.458,12.236,,,
229,04/11/19 09:00:00 PM,9.416,9.668,10.479,11.980,,,
230,04/11/19 09:15:00 PM,9.416,9.671,10.499,11.778,,,
231,04/11/19 09:30:00 PM,9.418,9.675,10.518,11.545,,,
232,04/11/19 09:45:00 PM,9.420,9.681,10.534,11.329,,,
233,04/11/19 10:00:00 PM,9.420,9.686,10.548,11.131,,,
234,04/11/19 10:15:00 PM,9.421,9.692,10.560,10.963,,,
235,04/11/19 10:30:00 PM,9.423,9.697,10.571,10.770,,,
236,04/11/19 10:45:00 PM,9.423,9.703,10.579,10.574,,,
237,04/11/19 11:00:00 PM,9.424,9.709,10.583,10.418,,,
238,04/11/19 11:15:00 PM,9.426,9.715,10.588,10.262,,,
239,04/11/19 11:30:00 PM,9.427,9.723,10.589,10.101,,,
240,04/11/19 11:45:00 PM,9.429,9.729,10.591,9.921,,,
241,04/12/19 12:00:00 AM,9.430,9.735,10.589,9.795,,,
242,04/12/19 12:15:00 AM,9.432,9.741,10.586,9.671,,,
243,04/12/19 12:30:00 AM,9.433,9.749,10.582,9.532,,,
244,04/12/19 12:45:00 AM,9.436,9.755,10.576,9.398,,,
245,04/12/19 01:00:00 AM,9.438,9.761,10.569,9.256,,,
246,04/12/19 01:15:00 AM,9.440,9.769,10.560,9.103,,,
247,04/12/19 01:30:00 AM,9.443,9.775,10.551,9.007,,,
248,04/12/19 01:45:00 AM,9.444,9.781,10.540,8.903,,,
249,04/12/19 02:00:00 AM,9.446,9.788,10.528,8.801,,,
250,04/12/19 02:15:00 AM,9.449,9.794,10.516,8.689,,,
251,04/12/19 02:30:00 AM,9.450,9.798,10.502,8.545,,,
252,04/12/19 02:45:00 AM,9.453,9.805,10.488,8.297,,,
253,04/12/19 03:00:00 AM,9.457,9.811,10.473,8.053,,,
254,04/12/19 03:15:00 AM,9.458,9.815,10.456,7.868,,,
255,04/12/19 03:30:00 AM,9.461,9.820,10.439,7.671,,,
256,04/12/19 03:45:00 AM,9.464,9.824,10.421,7.450,,,
257,04/12/19 04:00:00 AM,9.466,9.829,10.403,7.286,,,
258,04/12/19 04:15:00 AM,9.469,9.834,10.384,7.151,,,
259,04/12/19 04:30:00 AM,9.472,9.837,10.365,7.040,,,
260,04/12/19 04:45:00 AM,9.475,9.840,10.343,6.962,,,
261,04/12/19 05:00:00 AM,9.477,9.844,10.322,6.773,,,
262,04/12/19 05:15:00 AM,9.480,9.848,10.299,6.587,,,
263,04/12/19 05:30:00 AM,9.483,9.849,10.277,6.507,,,
264,04/12/19 05:45:00 AM,9.486,9.852,10.253,6.409,,,
265,04/12/19 06:00:00 AM,9.487,9.854,10.228,6.242,,,
266,04/12/19 06:15:00 AM,9.490,9.855,10.204,6.094,,,
267,04/12/19 06:30:00 AM,9.494,9.857,10.179,5.952,,,
268,04/12/19 06:45:00 AM,9.497,9.858,10.153,5.837,,,
269,04/12/19 07:00:00 AM,9.498,9.860,10.127,5.709,,,
270,04/12/19 07:15:00 AM,9.501,9.860,10.101,5.618,,,
271,04/12/19 07:30:00 AM,9.504,9.860,10.073,5.584,,,
272,04/12/19 07:45:00 AM,9.506,9.860,10.047,5.578,,,
273,04/12/19 08:00:00 AM,9.509,9.860,10.018,5.571,,,
274,04/12/19 08:15:00 AM,9.510,9.860,9.990,5.643,,,
275,04/12/19 08:30:00 AM,9.514,9.858,9.963,5.701,,,
276,04/12/19 08:45:00 AM,9.515,9.857,9.934,5.787,,,
277,04/12/19 09:00:00 AM,9.518,9.855,9.906,5.856,,,
278,04/12/19 09:15:00 AM,9.520,9.854,9.878,5.942,,,
