"Titre de tracé : 10848914"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848914)","Arrêté (LGR S/N: 10848914)","Fin de fichier (LGR S/N: 10848914)"
82,04/10/19 08:15:00 AM,8.310,8.308,8.244,8.232,,,
83,04/10/19 08:30:00 AM,8.521,8.549,8.455,8.408,,,
84,04/10/19 08:45:00 AM,9.038,9.069,9.001,8.956,,,
85,04/10/19 09:00:00 AM,9.666,9.717,9.655,9.651,,,
86,04/10/19 09:15:00 AM,9.748,9.843,9.800,9.658,,,
87,04/10/19 09:30:00 AM,10.738,10.922,10.866,10.684,,,
88,04/10/19 09:45:00 AM,10.960,11.178,11.123,10.893,,,
89,04/10/19 10:00:00 AM,11.008,11.245,11.198,11.128,,,
90,04/10/19 10:15:00 AM,11.570,11.871,11.897,11.812,,,
91,04/10/19 10:30:00 AM,12.127,12.485,12.477,12.613,,,
92,04/10/19 10:45:00 AM,13.064,13.460,13.535,13.718,,,
93,04/10/19 11:00:00 AM,13.568,14.038,14.143,14.327,,,
94,04/10/19 11:15:00 AM,14.074,14.527,14.670,15.037,,,
95,04/10/19 11:30:00 AM,14.948,15.321,15.485,16.032,,,
96,04/10/19 11:45:00 AM,15.782,16.161,16.368,17.034,,,
97,04/10/19 12:00:00 PM,15.906,16.113,16.446,16.945,,,
98,04/10/19 12:15:00 PM,15.469,15.778,15.983,16.399,,,
99,04/10/19 12:30:00 PM,15.449,15.857,15.889,16.086,,,
100,04/10/19 12:45:00 PM,18.316,18.815,18.812,19.561,,,
101,04/10/19 01:00:00 PM,20.190,21.318,20.848,21.824,,,
102,04/10/19 01:15:00 PM,27.202,29.085,27.642,30.465,,,
103,04/10/19 01:30:00 PM,28.241,29.939,29.380,31.022,,,
104,04/10/19 01:45:00 PM,25.746,27.454,26.856,28.071,,,
105,04/10/19 02:00:00 PM,30.070,31.765,30.760,34.464,,,
106,04/10/19 02:15:00 PM,26.971,28.051,28.075,29.191,,,
107,04/10/19 02:30:00 PM,25.072,26.277,26.064,27.471,,,
108,04/10/19 02:45:00 PM,30.367,31.497,30.718,34.257,,,
109,04/10/19 03:00:00 PM,22.853,23.731,24.055,23.006,,,
110,04/10/19 03:15:00 PM,18.857,19.664,19.940,19.316,,,
111,04/10/19 03:30:00 PM,18.738,19.361,19.607,19.393,,,
112,04/10/19 03:45:00 PM,19.598,20.187,20.320,20.856,,,
113,04/10/19 04:00:00 PM,19.982,20.582,20.613,20.735,,,
114,04/10/19 04:15:00 PM,19.004,19.686,19.717,19.490,,,
115,04/10/19 04:30:00 PM,18.556,19.252,19.301,19.396,,,
116,04/10/19 04:45:00 PM,19.694,20.223,20.234,20.115,,,
117,04/10/19 05:00:00 PM,18.907,19.609,19.523,19.549,,,
118,04/10/19 05:15:00 PM,18.216,18.855,18.796,18.479,,,
119,04/10/19 05:30:00 PM,16.682,17.223,17.268,16.868,,,
120,04/10/19 05:45:00 PM,16.238,16.722,16.759,16.627,,,
121,04/10/19 06:00:00 PM,17.173,17.674,17.550,17.782,,,
122,04/10/19 06:15:00 PM,16.116,16.521,16.549,16.196,,,
123,04/10/19 06:30:00 PM,14.575,14.946,15.031,14.605,,,
124,04/10/19 06:45:00 PM,13.862,14.155,14.223,13.973,,,
125,04/10/19 07:00:00 PM,13.790,14.056,14.089,14.009,,,
126,04/10/19 07:15:00 PM,13.317,13.499,13.551,13.285,,,
127,04/10/19 07:30:00 PM,12.588,12.805,12.841,12.535,,,
128,04/10/19 07:45:00 PM,12.015,12.168,12.233,12.037,,,
129,04/10/19 08:00:00 PM,11.966,12.078,12.128,12.063,,,
130,04/10/19 08:15:00 PM,11.801,11.880,11.919,11.836,,,
131,04/10/19 08:30:00 PM,11.557,11.624,11.645,11.534,,,
